# Time-averaged data for fix aveE
# TimeStep v_varbias
9900000 0.137907
9910000 0.140784
9920000 0.143657
9930000 0.146527
9940000 0.149393
9950000 0.152255
9960000 0.155114
9970000 0.157968
9980000 0.160819
9990000 0.163666
10000000 0.166508
10010000 0.169347
10020000 0.172181
10030000 0.175011
10040000 0.177836
10050000 0.180657
10060000 0.183474
10070000 0.186286
10080000 0.189093
10090000 0.191896
10100000 0.194693
10110000 0.197486
10120000 0.200274
10130000 0.203057
10140000 0.205835
10150000 0.208608
10160000 0.211375
10170000 0.214138
10180000 0.216894
10190000 0.219646
10200000 0.222392
10210000 0.225132
10220000 0.227867
10230000 0.230596
10240000 0.233319
10250000 0.236037
10260000 0.238748
10270000 0.241454
10280000 0.244154
10290000 0.246847
10300000 0.249534
10310000 0.252215
10320000 0.25489
10330000 0.257559
10340000 0.260221
10350000 0.262876
10360000 0.265525
10370000 0.268167
10380000 0.270803
10390000 0.273431
10400000 0.276053
10410000 0.278668
10420000 0.281276
10430000 0.283877
10440000 0.286471
10450000 0.289058
10460000 0.291638
10470000 0.29421
10480000 0.296775
10490000 0.299332
10500000 0.301882
10510000 0.304425
10520000 0.30696
10530000 0.309487
10540000 0.312006
10550000 0.314518
10560000 0.317021
10570000 0.319517
10580000 0.322005
10590000 0.324485
10600000 0.326957
10610000 0.32942
10620000 0.331875
10630000 0.334322
10640000 0.336761
10650000 0.339191
10660000 0.341613
10670000 0.344026
10680000 0.346431
10690000 0.348827
10700000 0.351214
10710000 0.353592
10720000 0.355962
10730000 0.358322
10740000 0.360674
10750000 0.363017
10760000 0.36535
10770000 0.367675
10780000 0.36999
10790000 0.372296
10800000 0.374593
10810000 0.37688
10820000 0.379158
10830000 0.381427
10840000 0.383686
10850000 0.385935
10860000 0.388175
10870000 0.390405
10880000 0.392625
10890000 0.394835
10900000 0.397036
10910000 0.399227
10920000 0.401407
10930000 0.403578
10940000 0.405738
10950000 0.407889
10960000 0.410029
10970000 0.412159
10980000 0.414279
10990000 0.416388
11000000 0.418487
11010000 0.420575
11020000 0.422653
11030000 0.42472
11040000 0.426777
11050000 0.428823
11060000 0.430858
11070000 0.432883
11080000 0.434897
11090000 0.436899
11100000 0.438891
11110000 0.440872
11120000 0.442842
11130000 0.444801
11140000 0.446749
11150000 0.448685
11160000 0.450611
11170000 0.452525
11180000 0.454428
11190000 0.456319
11200000 0.458199
11210000 0.460067
11220000 0.461924
11230000 0.46377
11240000 0.465604
11250000 0.467426
11260000 0.469237
11270000 0.471036
11280000 0.472823
11290000 0.474598
11300000 0.476361
11310000 0.478113
11320000 0.479852
11330000 0.48158
11340000 0.483295
11350000 0.484999
11360000 0.48669
11370000 0.488369
11380000 0.490036
11390000 0.491691
11400000 0.493333
11410000 0.494963
