# Time-averaged data for fix aveIp
# TimeStep c_Ip
6810000 -0.378635
6820000 -0.377764
6830000 -0.377458
6840000 -0.37712
6850000 -0.376487
6860000 -0.375751
6870000 -0.375765
6880000 -0.374646
6890000 -0.374195
6900000 -0.373375
6910000 -0.37293
6920000 -0.372391
6930000 -0.371514
6940000 -0.370784
6950000 -0.370509
6960000 -0.369041
6970000 -0.368669
6980000 -0.368085
6990000 -0.367246
7000000 -0.366515
7010000 -0.365933
7020000 -0.364982
7030000 -0.364145
7040000 -0.36339
7050000 -0.362104
7060000 -0.361363
7070000 -0.360921
7080000 -0.35956
7090000 -0.359076
7100000 -0.358469
7110000 -0.357354
7120000 -0.356933
7130000 -0.35602
7140000 -0.35463
7150000 -0.354044
7160000 -0.353388
7170000 -0.352023
7180000 -0.350739
7190000 -0.350295
7200000 -0.349056
7210000 -0.348223
7220000 -0.346904
7230000 -0.346056
7240000 -0.345608
7250000 -0.344203
7260000 -0.343097
7270000 -0.342171
7280000 -0.340908
7290000 -0.339973
7300000 -0.339089
7310000 -0.337021
7320000 -0.336721
7330000 -0.33532
7340000 -0.33443
7350000 -0.333054
7360000 -0.332208
7370000 -0.33064
7380000 -0.329642
7390000 -0.328788
7400000 -0.327164
7410000 -0.325715
7420000 -0.325363
7430000 -0.323907
7440000 -0.322542
7450000 -0.321254
7460000 -0.320004
7470000 -0.318509
7480000 -0.316933
7490000 -0.316034
7500000 -0.314386
7510000 -0.313247
7520000 -0.311531
7530000 -0.310069
7540000 -0.309369
7550000 -0.307333
7560000 -0.306555
7570000 -0.305212
7580000 -0.303517
7590000 -0.301969
7600000 -0.300866
7610000 -0.299053
7620000 -0.297484
7630000 -0.29672
7640000 -0.294641
7650000 -0.293342
7660000 -0.292091
7670000 -0.290331
7680000 -0.288993
7690000 -0.287231
7700000 -0.285489
7710000 -0.284307
7720000 -0.282037
7730000 -0.280354
7740000 -0.279056
7750000 -0.276762
7760000 -0.275607
7770000 -0.274366
7780000 -0.272804
7790000 -0.271287
7800000 -0.269262
7810000 -0.266425
7820000 -0.264872
7830000 -0.26339
7840000 -0.261677
7850000 -0.259445
7860000 -0.258917
7870000 -0.256595
7880000 -0.254421
7890000 -0.252334
7900000 -0.250768
7910000 -0.248791
7920000 -0.246984
7930000 -0.244774
7940000 -0.243466
7950000 -0.240584
7960000 -0.238706
7970000 -0.237384
7980000 -0.23514
7990000 -0.232769
8000000 -0.230555
8010000 -0.229715
8020000 -0.226257
8030000 -0.224178
8040000 -0.222265
8050000 -0.220258
8060000 -0.217926
8070000 -0.216218
8080000 -0.213485
8090000 -0.21115
8100000 -0.208791
8110000 -0.206405
8120000 -0.204536
8130000 -0.202339
8140000 -0.199774
8150000 -0.198011
8160000 -0.195356
8170000 -0.193249
8180000 -0.190625
8190000 -0.188806
8200000 -0.18523
8210000 -0.183756
8220000 -0.180867
8230000 -0.178323
8240000 -0.176031
8250000 -0.173912
8260000 -0.170845
8270000 -0.168011
8280000 -0.166685
8290000 -0.163449
8300000 -0.161324
8310000 -0.157894
8320000 -0.155394
8330000 -0.153894
8340000 -0.149502
8350000 -0.148838
8360000 -0.145092
8370000 -0.142062
8380000 -0.14013
8390000 -0.137728
8400000 -0.134967
8410000 -0.131992
8420000 -0.129146
8430000 -0.127358
8440000 -0.123925
8450000 -0.120661
8460000 -0.118821
8470000 -0.117355
8480000 -0.112447
