# Time-averaged data for fix aveIm
# TimeStep c_Im
7810000 0.266124
7820000 0.264739
7830000 0.263412
7840000 0.261453
7850000 0.259716
7860000 0.258834
7870000 0.256315
7880000 0.254299
7890000 0.252341
7900000 0.251085
7910000 0.2489
7920000 0.246834
7930000 0.244612
7940000 0.243391
7950000 0.240714
7960000 0.238392
7970000 0.237366
7980000 0.235291
7990000 0.232588
8000000 0.230903
8010000 0.229543
8020000 0.226275
8030000 0.224237
8040000 0.222086
8050000 0.219961
8060000 0.218126
8070000 0.216185
8080000 0.213321
8090000 0.21097
8100000 0.209086
8110000 0.206671
8120000 0.204273
8130000 0.20274
8140000 0.199937
8150000 0.198049
8160000 0.195445
8170000 0.192988
8180000 0.190737
8190000 0.188728
8200000 0.185341
8210000 0.183849
8220000 0.180858
8230000 0.178411
8240000 0.175838
8250000 0.173881
8260000 0.170968
8270000 0.167866
8280000 0.16676
8290000 0.163343
8300000 0.161297
8310000 0.157912
8320000 0.1555
8330000 0.154105
8340000 0.149642
8350000 0.148564
8360000 0.145092
8370000 0.142145
8380000 0.14022
8390000 0.13796
8400000 0.135097
8410000 0.131921
8420000 0.129238
8430000 0.127376
8440000 0.123759
8450000 0.120664
8460000 0.118775
8470000 0.117112
8480000 0.112737
8490000 0.110438
8500000 0.108037
8510000 0.104807
8520000 0.102888
8530000 0.0988827
8540000 0.0969321
8550000 0.0950247
8560000 0.0922856
8570000 0.088676
8580000 0.0859335
8590000 0.0834893
8600000 0.0816824
8610000 0.0793783
8620000 0.076132
8630000 0.073705
8640000 0.0711919
8650000 0.0687818
8660000 0.066218
8670000 0.064419
8680000 0.0617295
8690000 0.0597719
8700000 0.0585643
8710000 0.055993
8720000 0.0531553
8730000 0.0508389
8740000 0.0487687
8750000 0.0470039
8760000 0.0439853
8770000 0.0427741
8780000 0.040882
8790000 0.0381213
8800000 0.0374744
8810000 0.0351744
8820000 0.0332856
8830000 0.0311809
8840000 0.0297921
8850000 0.0280565
8860000 0.0272299
8870000 0.0254932
8880000 0.0233551
8890000 0.0219109
8900000 0.0212972
8910000 0.0203257
8920000 0.0192079
8930000 0.017932
8940000 0.0164296
8950000 0.0150544
8960000 0.0149277
8970000 0.0139437
8980000 0.0124131
8990000 0.0117427
9000000 0.011003
9010000 0.0103179
9020000 0.00948751
9030000 0.00818687
9040000 0.0076761
9050000 0.0069729
9060000 0.00594191
9070000 0.00559391
9080000 0.00554053
9090000 0.00505795
9100000 0.00481091
9110000 0.00410964
9120000 0.00354554
9130000 0.00359935
9140000 0.00315914
9150000 0.00293222
9160000 0.00270118
9170000 0.00236302
9180000 0.00212813
9190000 0.00176419
9200000 0.00174624
9210000 0.00151691
9220000 0.00137177
9230000 0.00128192
9240000 0.00112556
9250000 0.00119148
9260000 0.000901914
9270000 0.000837452
9280000 0.000689227
9290000 0.000598882
9300000 0.000650991
9310000 0.000440307
9320000 0.000389541
9330000 0.00031677
9340000 0.000353904
9350000 0.000279922
9360000 0.000170321
9370000 9.52332e-05
9380000 0.000169108
9390000 7.8621e-05
9400000 0.000118839
9410000 0.000141853
9420000 0.000107357
9430000 -2.2886e-05
9440000 1.48367e-05
9450000 -4.67853e-05
9460000 -0.00028102
9470000 2.89531e-06
9480000 -9.69477e-05
9490000 -0.000118897
9500000 -8.00386e-05
9510000 -0.000211197
9520000 -0.000286656
9530000 -0.000311332
9540000 -0.000315591
9550000 -0.00026497
9560000 -0.000408341
9570000 -0.000406305
9580000 -0.000423081
9590000 -0.000383899
9600000 -0.000620794
9610000 -0.000592959
9620000 -0.000536996
9630000 -0.000787125
9640000 -0.00075536
9650000 -0.000849942
9660000 -0.000840521
9670000 -0.000869429
9680000 -0.00104154
9690000 -0.00120806
9700000 -0.00134678
9710000 -0.001538
9720000 -0.00183127
9730000 -0.00201829
9740000 -0.00266976
9750000 -0.0029107
9760000 -0.00316168
9770000 -0.00353872
9780000 -0.00401634
9790000 -0.0048806
9800000 -0.0050452
9810000 -0.00551221
9820000 -0.00596104
9830000 -0.00663412
9840000 -0.00717223
9850000 -0.00791016
9860000 -0.00875452
9870000 -0.00951594
9880000 -0.0108518
9890000 -0.0122186
9900000 -0.0126784
9910000 -0.0138876
9920000 -0.0154741
9930000 -0.0169507
9940000 -0.0174009
9950000 -0.0184083
9960000 -0.0198534
9970000 -0.02025
9980000 -0.0224088
9990000 -0.0248725
10000000 -0.0266388
10010000 -0.0277095
10020000 -0.0284774
10030000 -0.0300791
10040000 -0.0322788
10050000 -0.0342407
10060000 -0.0358207
10070000 -0.0388207
10080000 -0.0402709
10090000 -0.0421647
10100000 -0.0437976
10110000 -0.0453954
10120000 -0.047615
10130000 -0.0508978
10140000 -0.0524147
10150000 -0.0543316
10160000 -0.05535
10170000 -0.0594564
10180000 -0.0621955
10190000 -0.064363
10200000 -0.0663144
10210000 -0.0674088
10220000 -0.0701468
10230000 -0.0743622
10240000 -0.0760933
10250000 -0.0789793
10260000 -0.0814798
10270000 -0.0836137
10280000 -0.0869687
10290000 -0.0898513
10300000 -0.0914594
10310000 -0.0953622
10320000 -0.0976269
10330000 -0.0987312
10340000 -0.101837
10350000 -0.10434
10360000 -0.108017
10370000 -0.108791
10380000 -0.112313
10390000 -0.116059
10400000 -0.118454
10410000 -0.121414
10420000 -0.123601
10430000 -0.126625
10440000 -0.129667
10450000 -0.131016
10460000 -0.13377
10470000 -0.137656
10480000 -0.140197
10490000 -0.143591
10500000 -0.146018
10510000 -0.148123
10520000 -0.150463
10530000 -0.152962
10540000 -0.155619
10550000 -0.158692
10560000 -0.160629
10570000 -0.163021
10580000 -0.165892
10590000 -0.16843
10600000 -0.171985
10610000 -0.173352
10620000 -0.17637
10630000 -0.179389
10640000 -0.18108
10650000 -0.184266
10660000 -0.185745
10670000 -0.188027
10680000 -0.190653
10690000 -0.193399
10700000 -0.195315
10710000 -0.198248
10720000 -0.199996
10730000 -0.202609
10740000 -0.204982
10750000 -0.207039
10760000 -0.209351
10770000 -0.211739
10780000 -0.213585
10790000 -0.215833
10800000 -0.21883
10810000 -0.220629
10820000 -0.222671
10830000 -0.224719
10840000 -0.226681
10850000 -0.228776
10860000 -0.230908
10870000 -0.232874
10880000 -0.235145
10890000 -0.236634
10900000 -0.239627
10910000 -0.241144
10920000 -0.243841
10930000 -0.244944
10940000 -0.247076
10950000 -0.248844
10960000 -0.251448
10970000 -0.253156
10980000 -0.25502
10990000 -0.256824
11000000 -0.258815
11010000 -0.26031
11020000 -0.262
11030000 -0.264304
11040000 -0.265624
11050000 -0.267674
11060000 -0.269048
11070000 -0.271261
11080000 -0.273251
11090000 -0.27433
11100000 -0.276256
11110000 -0.277805
11120000 -0.279883
11130000 -0.281365
11140000 -0.282648
11150000 -0.284255
11160000 -0.285858
11170000 -0.287454
11180000 -0.289746
11190000 -0.290723
